co9088 do8996 hu8850 mo3612 ra4328 
co10723 do9559 hu4143 mo6625 ra6547 
co6362 do9251 hu8216 mo7852 ra13181 
co9831 do787 hu4085 mo5168 ra1344 
co6133 do8520 hu5224 mo7024 ra450 
co7774 do9345 hu10912 mo10465 ra8736 
co5614 do6974 hu15648 mo9915 ra685 
co1053 do9474 hu7849 mo11616 ra8555 
co2038 do5917 hu948 mo438 ra5628 
co5449 do1935 hu1733 mo9273 ra7961 
co2582 do1620 hu6346 mo676 ra5197 
co5545 do8119 hu3518 mo6478 ra5067 
co1682 do710 hu5996 mo1533 ra4792 
co6631 do4876 hu9160 mo6284 ra2433 
co8423 do713 hu5048 mo2979 ra3446 
co8181 do3064 hu3082 mo100 ra3447 
co2764 do630 hu8923 mo4779 ra8214 
co8449 do4124 hu13321 mo7322 ra2874 
co7281 do2081 hu4042 mo1436 ra3825 
co9897 do10989 hu9850 mo9327 ra10989 
co1118 do3770 hu3605 mo2629 ra3890 
co475 do3232 hu1253 mo17080 ra704 
co7912 do10591 hu2430 mo6501 ra8737 
co4664 do9333 hu8063 mo6297 ra6669 
co1836 do660 hu175 mo4158 ra157 
co10044 do8322 hu5225 mo6462 ra3056 
co6140 do7526 hu10894 mo13135 ra10940 
co8994 do8591 hu9774 mo10169 ra9775 
co210 do578 hu3940 mo105 ra1380 
co5499 do4844 hu6029 mo3321 ra9558 
co1636 do7445 hu3463 mo10021 ra3210 
co6915 do6296 hu5631 mo1181 ra3773 
co528 do6391 hu5909 mo6008 ra3554 
co5833 do3425 hu4900 mo3865 ra9255 
co13437 do13571 hu17565 mo13651 ra13248 
co1477 do5494 hu6690 mo3275 ra2747 
co8311 do4144 hu8306 mo8608 ra2746 
co3071 do6969 hu6633 mo3078 ra3701 
co5194 do7644 hu13000 mo4393 ra10397 
co10026 do5619 hu4086 mo4481 ra1343 
co183 do1415 hu1753 mo17132 ra504 
co2131 do2194 hu8071 mo5839 ra7285 
co4530 do3250 hu3688 mo3666 ra1389 
co5823 do7970 hu7383 mo10012 ra8643 
co10628 do9488 hu7680 mo5607 ra9289 
co525 do943 hu1599 mo3195 ra1569 
co2999 do2741 hu4496 mo2171 ra1196 
co4192 do7565 hu3734 mo28 ra600 
co1726 do3139 hu2663 mo2952 ra1195 
co4136 do6759 hu7870 mo17163 ra3226 
co4647 do4984 hu2875 mo9638 ra2829 
co12282 do8244 hu12826 mo10431 ra3062 
co2433 do8120 hu2876 mo9889 ra5965 
