co31 do560 hu4055 mo1523 ra554 
co1558 do1237 hu3404 mo3027 ra3169 
co5779 do10574 hu11878 mo6531 ra6575 
co7111 do4863 hu9886 mo3529 ra1755 
co169 do3721 hu6856 mo17111 ra2431 
co335 do504 hu4860 mo8251 ra6574 
co11737 do12191 hu13790 mo11415 ra13194 
co2227 do5264 hu7389 mo7650 ra7251 
co4093 do1870 hu9482 mo1290 ra621 
co3658 do18 hu1721 mo1589 ra4410 
co6953 do5728 hu10473 mo6119 ra1185 
co1799 do1713 hu9404 mo4041 ra1119 
co7267 do5901 hu616 mo4152 ra3514 
co5554 do4492 hu2850 mo2327 ra949 
co6781 do1513 hu5736 mo1743 ra7918 
co6808 do11752 hu7723 mo6144 ra6920 
co3256 do2021 hu9616 mo7627 ra3725 
co5383 do2599 hu3380 mo10170 ra324 
co1102 do3299 hu7311 mo3150 ra6589 
co6881 do2896 hu2256 mo4048 ra1897 
co4836 do6119 hu3677 mo8956 ra3198 
co3766 do8127 hu6796 mo10017 ra388 
co2003 do4289 hu13293 mo8887 ra3726 
co9077 do10475 hu11779 mo8450 ra8371 
co10005 do3312 hu15963 mo2253 ra9347 
co756 do3209 hu3525 mo2713 ra1080 
co7975 do2225 hu7952 mo7443 ra7140 
co5958 do376 hu5505 mo9430 ra7666 
co8850 do10804 hu4755 mo7185 ra10080 
co8851 do5498 hu4340 mo11080 ra11180 
co6907 do3025 hu8526 mo2375 ra10126 
co2514 do5403 hu4935 mo9926 ra9649 
co2746 do1117 hu3227 mo1816 ra1654 
co4256 do4382 hu9529 mo2517 ra6436 
co162 do6823 hu7868 mo6202 ra6736 
co7400 do9984 hu5222 mo11149 ra8923 
co11917 do9526 hu10497 mo7716 ra12010 
co7163 do6528 hu12563 mo13090 ra3347 
co5478 do9862 hu9965 mo591 ra8334 
co2206 do6706 hu6649 mo9505 ra3746 
co3839 do6541 hu4503 mo17077 ra299 
co11509 do12591 hu11537 mo6816 ra2915 
co3169 do2328 hu1115 mo5001 ra6512 
co2595 do10536 hu5510 mo12921 ra2287 
co10633 do10415 hu4823 mo6942 ra5926 
co1504 do4063 hu6861 mo8432 ra2288 
co1008 do3532 hu7276 mo7086 ra5818 
co5180 do3782 hu3319 mo2864 ra10800 
co3080 do2253 hu1412 mo2699 ra7628 
co8281 do4019 hu311 mo3697 ra11287 
co1624 do1308 hu5097 mo5261 ra4012 
co709 do8940 hu8074 mo7420 ra11841 
co3522 do2471 hu1825 mo8029 ra203 
co2766 do4083 hu10342 mo3645 ra1872 
