INTERACTOR_1	INTERACTOR_2
co481	co1172
co1173	co120
co1174	co1175
co1176	co1048
co1177	co277
co1178	co1179
co1180	co565
co1181	co903
co1182	co1183
co1184	co1185
co1186	co1187
co1188	co749
co1189	co1190
co941	co1191
co1192	co1098
co595	co1193
co736	co1194
co1195	co1196
co1197	co1198
co115	co1199
co1200	co1201
co300	co1202
co1203	co1204
co1205	co1206
co374	co1207
co1208	co1209
co156	co1210
co1211	co56
co1212	co1213
co1214	co1215
co1216	co1217
co1218	co324
co1179	co1219
co1220	co1221
co1222	co1223
co796	co970
co1224	co1225
co655	co1226
co105	co1227
co1228	co1229
co1230	co1014
co710	co1231
co1019	co1054
co1232	co231
co1233	co958
co1234	co944
co1235	co3
co1236	co110
co1237	co149
co1238	co1239
co1240	co1241
co1242	co1243
co1244	co1245
co1246	co1247
co181	co1248
co1249	co1250
co1251	co1252
co178	co289
co1253	co1254
co1255	co1256
co1257	co1258
co205	co1259
co1260	co1261
co1262	co1263
co527	co1264
co1265	co1266
co1267	co722
co1268	co319
co1269	co1270
co1271	co1272
co97	co1273
co1274	co702
co1275	co293
co854	co457
co1276	co1277
co1278	co1279
co566	co1280
co1281	co1282
co1283	co1284
co1285	co1286
co1287	co1288
co1289	co1290
co1291	co1292
co1293	co1294
co1295	co1296
co293	co1297
co1298	co1299
co1300	co1301
co1302	co1303
co62	co1304
co1305	co842
co1306	co1307
co1085	co509
co1308	co1309
co1310	co1311
co1312	co1313
co1314	co1315
co900	co1316
co1092	co1317
co805	co1318
co1319	co523
co950	co481
co758	co1320
co513	co1321
co1322	co24
co1323	co1324
co439	co1325
co1326	co1327
co1328	co702
co1329	co1330
co1331	co1332
co1333	co1334
co1335	co1336
co1337	co1338
co470	co1339
co693	co11
co838	co1340
co1341	co1342
co1343	co1344
co1345	co1346
co1347	co218
co461	co1180
co728	co217
co1348	co65
co1349	co1350
co396	co1351
co1352	co1353
co165	co1354
co1355	co1356
co1357	co1358
co1359	co48
co1360	co985
co577	co485
co1361	co1362
co1363	co457
co1364	co1365
co1366	co64
co1367	co1368
co874	co1369
co631	co556
co1370	co1371
co1372	co1373
co1374	co1375
co509	co1376
co874	co402
co1377	co958
co766	co87
co1378	co1379
co657	co48
co1380	co1381
co1382	co602
co1383	co1384
co1385	co248
co1386	co80
co271	co1217
co1387	co1388
co1389	co1390
co1391	co1392
co1393	co1394
co1395	co1396
co437	co1397
co728	co1398
co11	co1399
co67	co1400
co498	co1401
co1402	co1403
co1404	co1405
co1406	co1407
co1408	co1409
co1410	co927
co1411	co1412
co1413	co1021
co1414	co1415
co1416	co1417
co934	co1138
co1418	co505
co1419	co1420
co1421	co1422
co1423	co1424
co1425	co1426
co1427	co1412
co1428	co1429
co1430	co1431
co240	co1432
co1433	co1434
co1435	co104
co1036	co1436
co1437	co1438
co1439	co1000
co1178	co816
co1440	co1441
co1442	co1443
co1055	co1444
co1445	co1446
co1447	co47
co1209	co1448
co1449	co1450
co1451	co1452
co1453	co896
co1454	co1455
co1456	co1457
co1458	co1459
co1460	co1461
co1462	co1463
co1464	co1465
co1466	co1467
co69	co1333
co109	co1468
co1469	co1470
co1471	co1472
co1048	co1452
co1473	co1474
co1475	co1476
co1347	co602
co1477	co785
co1478	co1479
co28	co1480
co324	co1481
co1482	co467
co1483	co1484
co193	co1485
co1486	co1487
co1488	co1489
co1490	co1491
co211	co1492
co123	co18
co708	co1493
co83	co1494
co1495	co1400
co1496	co1497
co1498	co1499
co1500	co1501
co1502	co165
co1503	co1382
co1504	co1505
co1506	co1507
co363	co1508
co1509	co1510
co1511	co1512
co1513	co503
co1302	co1514
co1515	co1492
co964	co1516
co675	co311
co1517	co1518
co583	co1519
co1520	co1043
co1521	co1522
co1523	co1524
co1525	co1516
co1526	co1527
co1528	co62
co1529	co1530
co1531	co1532
co484	co1533
co316	co1534
co1535	co1536
co17	co1537
co1538	co1539
co1540	co1541
co1542	co1071
co1230	co165
co1002	co481
co1543	co1544
co1545	co1546
co324	co1547
co1548	co1153
co1549	co1550
co1551	co325
co1552	co1553
co537	co515
co100	co1554
co1555	co1452
co158	co298
co1556	co58
co467	co544
co1557	co1558
co251	co104
co1559	co271
co646	co1349
co1560	co1561
co64	co1562
co1563	co1564
co88	co1565
co1566	co1567
co899	co1376
co1568	co1569
co172	co1570
co1571	co621
co1572	co1150
co336	co108
co1573	co1546
co166	co1574
co1575	co1576
co1577	co1578
co1579	co1580
co1581	co1582
co485	co1583
co1584	co1585
co1398	co1586
co1587	co20
co1588	co1589
co1590	co1591
co8	co1592
co1593	co1594
co1595	co353
co1596	co1597
co1598	co313
co1540	co1089
co316	co1599
co840	co1600
co1601	co1602
co1603	co1604
co1605	co1382
co1606	co96
co1607	co1608
co1541	co104
co1609	co1610
co1611	co1323
co1612	co128
co853	co1613
co1614	co906
co1615	co1607
co1616	co1617
co794	co1618
co1619	co1620
co1621	co1622
co761	co1623
co1624	co1625
co761	co1626
co27	co1627
co1628	co1629
co1630	co1631
co1632	co1633
co1361	co294
co1634	co1148
co1635	co1636
co1637	co1638
co1639	co1640
co1641	co1642
co1643	co1048
co1644	co2
co1645	co1646
co1647	co1648
co1649	co1650
co1651	co1231
co1652	co1653
co1654	co1655
co1656	co1393
co1657	co1658
co728	co1659
co1660	co1661
co1662	co1663
co1421	co1664
co1311	co1114
co853	co1610
co1665	co1159
co1666	co1667
co1668	co1669
co1670	co689
co1671	co222
co460	co282
co1672	co1099
co1673	co1674
co1675	co165
co1676	co1426
co1677	co702
co1678	co1679
co1680	co1681
co1682	co1683
co1684	co1685
co1686	co149
co1687	co1688
co1689	co1446
co615	co48
co1690	co1691
co1692	co1693
co362	co1694
co54	co1695
co1696	co1697
co1305	co1698
co1699	co1700
co1701	co1349
co1702	co165
co443	co120
co524	co1703
co1704	co1705
co1706	co723
co1707	co202
co1708	co702
co1709	co668
co1710	co1711
co1712	co1713
co1249	co1280
co655	co141
co1714	co1715
co1716	co1717
co1718	co631
co844	co1719
co1720	co1721
co1253	co1722
co1723	co1724
co1725	co193
co1726	co1727
co1728	co1729
co403	co1730
co1731	co1732
co1110	co421
co209	co1733
co269	co1730
co1734	co1735
co501	co1736
co1737	co1738
co1739	co1740
co1741	co1195
co1742	co1743
co1744	co218
co453	co1745
co1746	co58
co1747	co1748
co1749	co1750
co1751	co1752
co1310	co517
co1753	co90
co1754	co1755
co1756	co1757
co203	co1758
co1759	co1760
co115	co430
co1761	co1762
co1763	co1764
co783	co293
co1765	co1766
co778	co1767
co1768	co1769
co1770	co1132
co1771	co1772
co44	co1773
co274	co1774
co1775	co1776
co1145	co1777
co1778	co1779
co1780	co987
co583	co1781
co1782	co1119
co1783	co1784
co1785	co1786
co1787	co1788
co1789	co1790
co1791	co1792
co1488	co1793
co1794	co247
co1795	co958
co133	co567
co1796	co1797
co1798	co1799
co1800	co1801
co1802	co1803
co1804	co1805
co1806	co353
co1807	co1431
co1808	co230
co300	co1809
co1810	co1811
co760	co215
co1812	co1813
co1814	co1815
co646	co1816
co1817	co1818
co1559	co566
co1737	co1819
co1820	co1821
co1822	co1823
co1824	co299
co1825	co1549
co1340	co210
co1826	co209
co835	co1827
co1828	co1829
co982	co1563
co1482	co1830
co1831	co657
co796	co1832
co1833	co214
co1834	co1835
co168	co1836
co1372	co1837
co1838	co1839
co1840	co1841
co1842	co1843
co1844	co1845
co957	co1846
co1847	co1848
co59	co1849
co25	co1850
co512	co1851
co735	co165
co1852	co1283
co1853	co542
co1337	co1697
co1762	co628
co1854	co1855
co500	co1856
co1857	co418
co1858	co1859
co1860	co1861
co1862	co1863
co805	co1838
co1864	co1865
co480	co1866
co1867	co736
co1868	co1869
co1870	co1871
co1872	co980
co1873	co870
co4	co529
co1874	co1171
co337	co1376
co1875	co1876
co1877	co1878
co388	co1879
co1880	co714
co1881	co1882
co1883	co1884
co1885	co1610
co936	co1886
co230	co1887
co1888	co1889
co1890	co643
co685	co660
co1789	co667
co1891	co22
co1892	co1893
co1894	co1895
co1896	co289
co1195	co1508
co1897	co1368
co708	co353
co1898	co1899
co1900	co1901
co1902	co4
co1903	co1904
co1905	co38
co1906	co1907
co1908	co77
co1909	co1910
co1911	co1912
co1913	co25
co1914	co1915
co1916	co1917
co1258	co1918
co500	co1919
co1920	co239
co668	co1921
co1922	co1923
co1924	co892
co1925	co1136
co1230	co495
co657	co1926
co1011	co178
co1382	co1927
co1928	co1929
co1930	co1931
co1932	co214
co1933	co1934
co1935	co1936
co1937	co739
co37	co1938
co1939	co124
co329	co165
co1940	co1941
co38	co1942
co1943	co1944
co1945	co1426
co1946	co1947
co62	co1948
co1675	co1949
co1950	co930
co1951	co144
co1952	co1953
co1764	co1954
co467	co1955
co1689	co1956
co1957	co456
co1414	co1958
co1959	co1588
co1960	co62
co5	co1961
co853	co1962
co1963	co1964
co1965	co1966
co1751	co1592
co170	co1481
co1967	co1968
co1969	co1166
co1970	co495
co1971	co565
co91	co86
co1972	co1973
co1974	co1975
co1976	co218
co1977	co1978
co1451	co1953
co1979	co1980
co939	co1981
co1315	co1982
co1983	co1984
co1985	co1986
co1935	co416
co469	co1987
co1988	co1989
co350	co1990
co1991	co80
co1402	co1587
co1992	co362
co1993	co1994
co1995	co1996
co7	co1997
co1545	co1998
co1999	co1154
co2000	co2001
co2002	co2003
co1296	co241
co2004	co2005
co2006	co2007
co193	co1508
co708	co491
co2008	co1136
co2009	co2010
co2011	co2012
co806	co2013
co2014	co958
co2015	co2016
co286	co2017
co2018	co2019
co2020	co2021
co2022	co2023
co2024	co366
co508	co2025
co1731	co736
co615	co2026
co2027	co2028
co499	co2029
co2030	co2031
co1391	co2032
co1271	co2033
co2034	co2035
co2036	co2037
co2038	co2039
co2040	co639
co2041	co147
co2042	co1954
co1295	co2043
co2044	co2045
co252	co2046
co1393	co2047
co770	co1518
co2048	co149
co2049	co2050
co2051	co2052
co1096	co2053
co2054	co1349
co2055	co189
co1895	co1276
co1287	co2056
co491	co2057
co1030	co1117
co1682	co668
co1806	co1441
co2058	co431
co1974	co2059
co2060	co2061
co206	co1098
co625	co1209
co934	co2062
co115	co2063
co197	co2064
