INTERACTOR_1	INTERACTOR_2
co4431	co4981
co2796	co141
co591	co5064
co2796	co363
co300	co815
co657	co218
co9633	co1452
co443	co6103
co8529	co2776
co5010	co815
co4764	co2639
co1335	co3438
co2925	co745
co1920	co4155
co7171	co14064
co1720	co10208
co2972	co4486
co945	co7274
co5318	co7319
co3855	co13500
co4443	co1489
co4976	co1918
co1100	co122
co3794	co6635
co1416	co4536
co3598	co3379
co191	co5601
co12498	co9278
co4140	co1703
co1714	co14065
co10991	co566
co1049	co121
co2270	co8975
co5354	co958
co2874	co3266
co8423	co1767
co1698	co2952
co3037	co293
co1789	co9005
co760	co91
co2902	co577
co5025	co1030
co392	co1173
co358	co2241
co1808	co6260
co1968	co64
co115	co3007
co9546	co6124
co7718	co7862
co3559	co1365
co408	co4002
co878	co2889
co2527	co4254
co5065	co742
co2549	co1285
co5139	co4705
co600	co124
co12609	co5888
co3105	co2457
co4116	co3828
co1667	co8402
co2964	co1572
co3425	co2052
co6875	co11290
co205	co546
co8224	co702
co903	co8523
co619	co5039
co435	co210
co214	co815
co6376	co222
co8378	co1954
co1310	co7124
co3846	co4547
co2298	co1304
co3056	co183
co2171	co317
co6787	co4920
co976	co303
co7492	co218
co1076	co5549
co4920	co8836
co10704	co989
co2954	co3175
co13519	co844
co8017	co2593
co7028	co889
co2635	co432
co1579	co3425
co2970	co5
co4852	co782
co2140	co8363
co1749	co10340
co4281	co958
co595	co10805
co1752	co509
co5910	co4046
co11	co5245
co5801	co12966
co8647	co11714
co13109	co761
co6317	co1612
co4254	co2299
co3713	co3630
co1646	co970
co7931	co10095
co925	co7302
co7709	co290
co1393	co579
co1287	co6484
co733	co304
co675	co2692
co2129	co13057
co10441	co1272
co2389	co6894
co7092	co4614
co1072	co4655
co2935	co7941
co7668	co509
co442	co2361
co905	co2524
co1046	co1191
co4484	co10820
co2506	co6650
co7200	co2561
co1458	co1258
co544	co4860
co7089	co10086
co6797	co2108
co7992	co4646
co702	co10947
co2834	co4486
co1706	co5041
co91	co4229
co10067	co6537
co2375	co2499
co3751	co271
co4052	co104
co2162	co6610
co5669	co1975
co499	co932
co4311	co615
co1756	co583
co1647	co2262
co1800	co3556
co10418	co777
co10480	co3319
co4437	co4348
co337	co1855
co53	co9202
co1663	co657
co1098	co4309
co1633	co558
co3986	co3702
co6290	co4745
co274	co1722
co5699	co6244
co2896	co132
co1127	co9328
co5571	co6056
co8575	co6552
co10841	co9408
co1830	co4160
co3736	co4866
co7267	co4435
co7707	co3742
co3672	co2218
co2865	co10874
co615	co5445
co446	co4274
co10623	co1799
co890	co1349
co8099	co3656
co2959	co1283
co3503	co151
co6801	co366
co6298	co12886
co100	co1605
co2143	co1069
co7851	co14066
co4579	co3775
co809	co1724
co982	co104
co646	co4053
co1233	co2028
co2202	co8101
co9713	co1952
co6028	co3857
co8124	co8137
co1283	co4002
co4716	co4742
co944	co938
co1706	co122
co3817	co3157
co172	co517
co260	co356
co4273	co6289
co6865	co2692
co446	co7271
co6728	co112
co3645	co4985
co1153	co3103
co3656	co91
co1795	co1195
co942	co421
co106	co5148
co1157	co4484
co12394	co2695
co1911	co5404
co9314	co828
co3389	co165
co539	co1699
co4410	co7260
co730	co1448
co2714	co3074
co671	co1297
co768	co6703
co205	co3028
co10505	co6794
co2226	co11541
co2503	co758
co1772	co616
co6044	co1098
co1026	co686
co305	co6505
co6894	co3707
co62	co837
co648	co1302
co1433	co827
co3143	co9504
co3667	co5466
co1335	co5362
co2704	co1037
co4245	co1099
co6703	co3007
co8926	co930
co40	co8848
co7555	co2959
co1944	co124
co1600	co229
co749	co6571
co1273	co3665
co1567	co192
co583	co2032
co4829	co416
co5005	co10119
co9637	co2615
co431	co1837
co100	co2341
co7668	co165
co3369	co3958
co11772	co8173
co1808	co848
co1092	co1103
co675	co1683
co293	co4570
co524	co11005
co199	co5594
co13943	co468
co692	co7384
co2258	co8996
co764	co6631
co1941	co2459
co4918	co3471
co3019	co409
co12889	co2763
co1151	co4718
co2866	co706
co2801	co4867
co2790	co1078
co5306	co2712
co631	co6202
co5043	co7324
co3169	co848
co6153	co183
co3279	co2685
co1809	co515
co3794	co7987
co258	co7713
co3484	co5831
co5124	co3804
co8186	co7649
co2512	co938
co1034	co4359
co5599	co8422
co11342	co9485
co3549	co3293
co1096	co5391
co12803	co3388
co6949	co4968
co1147	co4503
co2028	co1272
co5342	co2163
co764	co3242
co2790	co2585
co53	co2736
co1114	co3046
co3755	co3845
co5908	co5477
co1939	co210
co2147	co1818
co4575	co1731
co4804	co1730
co7217	co2436
co2561	co622
co1097	co1263
co481	co9588
co9925	co4534
co5228	co6143
co10160	co1276
co2285	co1697
co1951	co6953
co2459	co218
co4301	co62
co432	co60
co2446	co1376
co2770	co120
co2112	co663
co1260	co687
co1806	co2691
co8901	co1441
co3000	co567
co1975	co4861
co8771	co31
co5796	co68
co3296	co2058
co793	co9341
co4642	co2627
co4320	co1901
co5750	co5259
co4109	co3563
co3238	co6752
co2729	co5166
co874	co1986
co2476	co4500
co6101	co5499
co6357	co11362
co2346	co2829
co867	co9542
co4696	co10989
co903	co642
co25	co648
co1939	co5510
co6293	co2810
co4654	co2123
co258	co359
co3534	co82
co5005	co7506
co1902	co6712
co5701	co3189
co1110	co4391
co900	co3022
co1248	co442
co1896	co1191
co25	co7027
co11935	co162
co1609	co2180
co4648	co6338
co3236	co6924
co6	co3949
co12039	co9932
co3461	co347
co537	co3010
co240	co4313
co7511	co2527
co3236	co3199
co8958	co1723
co7518	co5968
co2293	co141
co5417	co2305
co4127	co3313
co271	co11482
co4047	co1154
co5339	co1738
co2591	co5475
co2389	co7903
co3887	co5658
co3876	co5834
co25	co1534
co1529	co8811
co7291	co391
co8327	co659
co146	co13248
co1854	co4200
co4337	co6091
co300	co4803
co6779	co9005
co2401	co9347
co7032	co3112
co7363	co4808
co7527	co104
co211	co57
co120	co689
co10620	co999
co1959	co9454
co4342	co2469
co7827	co587
co7820	co2151
co6881	co7152
co1073	co937
co3280	co665
co2916	co8808
co7026	co4127
co5246	co738
co5182	co10977
co2991	co5252
co1341	co5602
co4660	co418
co5958	co1959
co1456	co43
co3696	co7377
co1296	co2331
co3539	co10393
co1388	co2093
co62	co2935
co3894	co1631
co8187	co1337
co6034	co8185
co4408	co408
co7130	co6114
co2389	co4901
co4687	co7944
co619	co4513
co8657	co1472
co9616	co1106
co11158	co6983
co9127	co2339
co2725	co353
co874	co485
co5643	co723
co193	co1014
co6770	co311
co165	co7450
co2549	co520
co1360	co1243
co725	co218
co230	co7152
co5602	co9231
co6122	co11439
co2271	co450
co2156	co1730
co2765	co7194
co10314	co589
co8265	co1475
co6628	co3599
co924	co380
co104	co9120
co217	co1891
co18	co4350
co5227	co8811
co91	co2838
co4335	co1397
co3885	co2709
co2451	co9814
co8932	co121
co516	co8268
co6474	co9381
co1302	co302
co3025	co6802
co4803	co9294
co6298	co3530
co4360	co6494
co4459	co3315
co1023	co23
co5048	co590
co375	co1227
co6978	co58
co317	co668
co3440	co2502
co509	co1191
co1382	co500
co165	co5563
co37	co1426
co453	co1195
co2611	co577
co1178	co2918
co2674	co9887
co6027	co310
co293	co3974
co4472	co4460
co576	co2026
co6691	co7584
co4523	co2727
co2272	co6611
co1361	co1633
co10467	co7224
co4572	co1258
co8051	co1658
co12396	co10981
co4409	co1219
co3040	co551
co402	co3162
co2197	co4127
co6477	co9716
co191	co4922
co1337	co9529
co14067	co5281
co562	co7700
co963	co1136
co874	co1195
co12553	co4534
co675	co4102
co3607	co12602
co4818	co4628
co278	co3162
co2066	co165
co8569	co8212
co1485	co659
co2867	co6876
co2919	co617
co1482	co4292
co3718	co1455
co6825	co1622
co9595	co1309
co7369	co7557
co10524	co1432
co337	co2870
co67	co2063
co7932	co1382
co3338	co1425
co9618	co12751
co5500	co1510
co12998	co2932
co7438	co888
co10204	co508
co4017	co359
co4114	co1875
co9196	co5340
co8774	co3569
co6831	co3817
co500	co4889
co100	co269
co785	co168
co3455	co2357
co1246	co10558
co1285	co7614
co13264	co82
co1959	co2241
co10480	co6115
co10565	co2618
co2343	co2305
co11221	co702
co271	co2794
co2564	co6911
co2245	co165
co9081	co3979
co461	co1021
co1393	co1561
co1614	co8133
co2746	co2984
co11	co5913
co13871	co237
co1178	co5108
co3376	co3173
co8615	co278
co304	co2610
co5921	co1357
co673	co222
co1746	co959
co8891	co10527
co8173	co401
co3833	co381
co7328	co165
co5254	co403
co710	co659
co2630	co1397
co2312	co241
co625	co3565
co8344	co6459
co141	co8193
co9887	co353
co7607	co864
co4900	co8316
co4241	co736
co4714	co12452
co873	co6137
co3283	co1790
co1250	co2962
co11097	co1276
co3502	co1815
co2128	co6101
co5442	co1014
co3492	co626
co774	co827
co10748	co7224
co2677	co8161
co1475	co6216
co5412	co6742
co3173	co6370
co162	co523
co509	co8650
co1605	co816
co3782	co4288
co4591	co516
co7277	co1219
co2198	co4320
co2892	co8264
co3630	co1863
co7342	co196
co1489	co1334
co2382	co2912
co11324	co2700
co1417	co9210
co5958	co66
co300	co2074
co736	co288
co314	co64
co7095	co1499
co12742	co1034
co11484	co553
co10639	co6704
co6603	co1113
co4337	co1150
co1530	co697
co571	co1034
co447	co4898
co7055	co709
co977	co6275
co408	co3022
co2764	co478
co4225	co851
co3207	co6052
co1517	co556
co6895	co4217
co760	co9814
co5343	co2590
co6528	co10430
co3567	co289
co11536	co7534
co165	co645
co517	co2499
co3096	co775
co6082	co1267
co166	co1501
co4951	co2314
co906	co717
co567	co6524
co2084	co1073
co566	co2746
co4370	co1815
co5127	co407
co11358	co1150
co1489	co4745
co2926	co1276
co7637	co3369
co10213	co5310
co2146	co11978
co3802	co2011
co3567	co1276
co305	co7412
co11874	co6705
co4645	co4091
co366	co7958
co358	co8027
co1383	co3565
co2939	co499
co1939	co1738
co210	co930
co2166	co738
co7452	co120
co9490	co5729
co3035	co2931
co4249	co2868
co9047	co11068
co10911	co3951
co346	co1534
co2576	co218
co837	co3672
co6752	co3297
co7758	co1337
co7334	co9501
co4638	co249
co109	co1431
co2006	co2527
co1139	co1641
co9830	co7571
co1204	co3556
co782	co3342
co3590	co3103
co2561	co3102
co675	co930
co3575	co3665
co5907	co8577
co498	co391
co1560	co4813
co4000	co8811
co4055	co249
co2561	co7890
co6979	co1452
co2427	co10910
co5167	co1397
co203	co80
co1361	co4984
co1195	co3784
co854	co149
co1347	co4043
co999	co2593
co2738	co4545
co5138	co3488
co1684	co6641
co5184	co2461
co1027	co1563
co725	co2565
co982	co120
co1171	co7090
co1144	co1098
co1948	co617
co3395	co1801
co278	co8034
co5444	co13991
co2072	co957
co5130	co166
co358	co10473
co4686	co837
co5887	co858
co4095	co12175
co11288	co3204
co521	co4582
co4876	co389
co4803	co4
co1760	co5631
co1287	co4898
co660	co4164
co1463	co6853
co781	co5571
co2382	co587
co2140	co558
co7269	co2725
co1633	co5018
co1341	co2739
co3627	co353
co25	co10958
co12329	co1344
co480	co538
co1138	co3538
co5830	co4652
co4352	co1526
co2116	co384
co945	co2163
co358	co11873
co3305	co8626
co2918	co4046
co6078	co3198
co2985	co2039
co1050	co3050
co770	co913
co2561	co4654
co375	co6810
co1290	co6592
co1501	co427
co690	co6114
co6340	co870
co1240	co507
co3138	co679
co3457	co2601
co999	co5970
co631	co88
co5447	co509
co2774	co462
co7932	co2248
co170	co141
co3312	co7910
co1417	co1518
co8867	co1294
co4829	co2232
co544	co3002
co8621	co9519
co479	co809
co2749	co12230
co467	co104
co342	co4085
co3727	co2701
co669	co2484
co2911	co294
co2091	co178
co2920	co470
co3221	co4769
co374	co6723
co2446	co702
co2828	co6970
co7086	co2260
co175	co3725
co3026	co14003
co43	co2114
co5070	co112
co4654	co6901
co6539	co7124
co1064	co2350
co474	co2962
co2244	co9072
co4904	co6139
co4409	co9935
co12614	co5030
co2134	co4656
co7025	co2562
co861	co2544
co2128	co520
co3133	co537
co388	co9510
co2276	co5166
co5655	co2124
co973	co525
co143	co319
co3598	co2829
co6955	co4850
co6037	co7903
co2526	co3607
co7425	co221
co11442	co2846
co9662	co6531
co5107	co10433
co8336	co293
co4551	co4594
co6554	co6358
co7955	co7636
co1716	co9420
co8034	co240
co473	co4261
co12111	co6347
co3295	co503
co4470	co418
co3165	co3219
co6585	co4173
co4237	co3895
co176	co3157
co1592	co4546
co117	co6319
co12824	co2153
co6856	co2471
co10252	co4047
co1978	co2686
co5720	co12931
co10794	co8865
co18	co9373
co2796	co3352
co1116	co10419
co6901	co938
co8172	co3592
co3650	co3413
co2952	co1942
co332	co5149
co10409	co5336
co3715	co7313
co345	co2448
co4605	co9498
co537	co1776
co675	co5917
co11067	co4031
co421	co6524
co1371	co293
co12006	co3147
co290	co4772
co1845	co2454
co5017	co3424
co25	co1516
co4846	co5514
co3236	co1818
co4443	co3874
co1180	co508
co3584	co1469
co4111	co1267
co540	co642
co3661	co2226
co27	co944
co2078	co5879
co6834	co8830
co4040	co3460
co10395	co3809
co2104	co2606
co537	co10707
co6733	co3050
co3477	co401
co12504	co353
co5020	co6344
co1195	co2477
co6435	co10007
co2953	co7224
co8675	co2430
co1046	co2296
co4177	co8855
co4829	co3066
co702	co14068
co5989	co11467
co3911	co9970
co405	co1276
co1075	co6817
co2099	co10988
co706	co3583
co537	co2701
co2312	co4559
co8091	co6646
co3230	co1815
co3571	co1730
co6028	co9477
co9299	co341
co9594	co6020
co2555	co4277
co6133	co4561
co4138	co903
co3054	co353
co8085	co1978
co3885	co4602
co7353	co2284
co1567	co136
co5114	co6183
co3648	co218
co1660	co3244
co1665	co4585
co759	co6733
co3138	co9784
co1819	co2221
co1202	co4
co728	co500
co1894	co5806
co3231	co2285
co3892	co839
co3283	co12475
co2425	co8455
co10802	co1349
co1741	co11027
co25	co10289
co5976	co508
co9227	co5658
co3477	co8393
co239	co782
co10389	co563
co8650	co204
co2729	co595
co10233	co230
co314	co2248
co4551	co5092
co13796	co2672
co3423	co522
co3054	co1091
co4273	co8973
co1140	co3047
co1645	co2209
co43	co5308
co1052	co1152
co1552	co5495
co10983	co38
co2787	co2999
co13568	co3002
co2310	co3659
co4186	co2923
co5151	co2251
co524	co10615
co7431	co4016
co11354	co5270
co13652	co668
co5516	co3414
co67	co5962
co11360	co4630
co1993	co10049
co4975	co4859
co1224	co3327
co5079	co2372
co67	co1405
co9204	co120
co7700	co384
co12527	co1206
co199	co6584
co9959	co5507
co300	co503
co9611	co8244
co4401	co5842
co3413	co120
co931	co4213
co5045	co4548
co165	co12713
co1361	co6466
co4714	co5548
co5941	co3211
co117	co67
co62	co2560
co2621	co2126
co6021	co4943
co1263	co1098
co2635	co4164
co917	co5681
co8065	co6314
co117	co7429
co1361	co2811
co2790	co112
co1536	co2034
co170	co3156
co10187	co5619
co12813	co2291
co2563	co3694
co3269	co369
co2419	co508
co1986	co1051
co509	co4552
co3543	co1276
co8323	co3404
co948	co6494
co903	co930
co3422	co3655
co7032	co7119
co7337	co3055
co4191	co12125
co360	co337
co10922	co2219
co4575	co1272
co2926	co1664
co2550	co1318
co1652	co5191
co109	co7031
co1851	co981
co187	co124
co282	co9659
co3718	co1275
co383	co7428
co414	co2130
co4369	co67
co625	co104
co14069	co25
co2294	co222
co7480	co622
co1096	co7428
co14070	co5447
co4035	co4663
co14071	co9838
co1806	co8830
co11642	co2442
co6297	co522
co463	co7403
co1361	co1241
co9667	co7224
co2819	co1527
co9490	co1645
co235	co870
co3607	co944
co4572	co471
co10134	co311
co2268	co2642
co12325	co165
co5303	co4781
co2272	co12080
co205	co3914
co2998	co8752
co136	co9454
co266	co4330
co3169	co9744
co1178	co3805
co4993	co928
co2790	co584
co753	co8049
co12162	co3827
co467	co3425
co5318	co122
co8181	co5691
co309	co5578
co11139	co6335
co64	co2722
co3909	co6524
co37	co9214
co2177	co1766
co2357	co11390
co6619	co5680
co7392	co6477
co230	co1649
co12583	co209
co2232	co3122
co1992	co4486
co177	co3049
co480	co46
co5516	co8077
co2263	co2879
co2671	co6430
co851	co3203
co17	co8944
co3852	co11872
co67	co5794
co12742	co165
co380	co5093
co972	co5788
co7375	co11784
co4127	co950
co9114	co3624
co1660	co271
co12028	co2163
co520	co3163
co5046	co3369
co121	co2731
co1825	co7224
co3331	co1124
co62	co5162
co6295	co782
co3001	co396
co17	co3431
co328	co9868
co2465	co176
co3984	co7375
co4342	co795
co4814	co659
co9831	co1279
co1361	co1829
co925	co7229
co4106	co6502
co7552	co5413
co8640	co5565
co358	co1201
co999	co454
co4745	co2120
co5311	co8496
co6623	co2296
co104	co6036
co1398	co3098
co5394	co2506
co2526	co2480
co6180	co1170
co6081	co1936
co4240	co1426
co342	co7828
co6171	co736
co3210	co5741
co736	co4918
co88	co11302
co1751	co1098
co932	co10110
co4076	co5107
co7914	co11482
co6421	co1277
co2959	co663
co2952	co2457
co3799	co1036
co669	co7076
co4598	co4040
co997	co958
co1310	co1305
co1361	co10299
co8676	co668
co381	co319
co395	co11040
co47	co503
co3183	co816
co3726	co2511
co8094	co7002
co5799	co3054
co8895	co10213
co2389	co4329
co500	co1610
co50	co7957
co736	co4071
co7171	co9347
co3242	co8161
co8396	co1726
co91	co1797
co508	co194
co2028	co2039
co3130	co2988
co1512	co1475
co5390	co1710
co4531	co472
co9773	co1645
co6817	co517
co804	co1392
co10583	co6363
co2551	co229
co2587	co3681
co7775	co682
co124	co4463
co1535	co753
co5560	co5658
co2338	co8224
co1361	co728
co3574	co1266
co6707	co1596
co8279	co112
co7318	co1210
co3869	co1466
co11858	co1622
co1077	co612
co5224	co4623
co5936	co3148
co6213	co1219
co2762	co12378
co1821	co3181
co7763	co5220
co3386	co8428
co736	co5323
co9052	co4256
co211	co4370
co11334	co6260
co2696	co7633
co6238	co2293
co53	co107
co7269	co17
co10610	co1028
co2310	co6396
co4391	co815
co131	co3204
co9464	co104
co1547	co659
co3371	co247
co7813	co2018
co1006	co2475
co3445	co2509
co6498	co186
co2618	co6915
co441	co8773
co899	co5560
co258	co5047
co4427	co7701
co1612	co6629
co1908	co5175
co9813	co3193
co4273	co977
co9124	co25
co5317	co3451
co2463	co1778
co3772	co5057
co1092	co8367
co9129	co165
co125	co392
co7585	co1206
co3032	co165
co4111	co1397
co691	co1362
co1016	co3020
co1269	co455
co509	co1272
co2593	co5050
co10754	co7574
co13797	co6727
co1798	co4530
co872	co499
co344	co5415
co300	co1393
co1911	co1617
co7204	co1345
co2106	co104
co5484	co7484
co685	co8151
co6589	co8121
co10637	co6762
co2892	co2201
co457	co1193
co3138	co6824
co1273	co1193
co319	co1918
co922	co4580
co316	co2410
co809	co9573
co1716	co271
co8624	co293
co4986	co522
co1969	co2027
co9860	co5216
co8676	co3595
co9812	co165
co4860	co3156
co5031	co1452
co1253	co1508
co4643	co1238
co6650	co46
co3337	co7524
co358	co11619
co25	co1012
co4904	co5966
co2338	co1191
co317	co9265
co1968	co5793
co2382	co47
co404	co1126
co346	co2410
co640	co970
co525	co8903
co5188	co5199
co1936	co303
co324	co538
co1322	co3266
co7691	co4946
co2723	co144
co5507	co1918
co6251	co112
co1275	co1453
co121	co3355
co1948	co11795
co8063	co5463
co3538	co6396
co3665	co2126
co700	co619
co1181	co4557
co8197	co13057
co5166	co9416
co2701	co1485
co2896	co6178
co299	co165
co189	co2748
co3027	co286
co113	co3984
co8768	co221
co4580	co1605
co4092	co362
co4010	co6626
co4264	co214
co7133	co6022
co1533	co4492
co148	co4652
co8817	co3775
co6317	co4145
co1914	co222
co4034	co3615
co13160	co5696
co4829	co6534
co2221	co706
co646	co626
co1084	co1901
co3993	co1272
co4634	co491
co1147	co9086
co13387	co503
co3416	co356
co274	co737
co558	co5164
co7709	co2201
co1968	co1818
co1941	co2938
co420	co7073
co2012	co74
co196	co4229
co1287	co685
co1576	co3093
co473	co3413
co2556	co4774
co122	co5533
co2527	co7271
co618	co2051
co2237	co523
co660	co4163
co3702	co1241
co971	co10184
co1201	co5315
co2023	co522
co3155	co7951
co1686	co2932
co2147	co3481
co5765	co11859
co3356	co2282
co508	co3874
co7546	co2564
co436	co1111
co3887	co782
co10830	co3634
co205	co1315
co3149	co149
co12314	co7084
co25	co5525
co12367	co218
co4876	co1791
co1991	co2796
co3598	co3131
co2897	co2499
co1970	co1324
co517	co1629
co1660	co3066
co12082	co136
co904	co4097
co4973	co7799
co6462	co841
co885	co2511
co6162	co1475
co132	co516
co5089	co1050
co1402	co9337
co973	co4097
co1202	co286
co9052	co1419
co5447	co2258
co8119	co336
co5353	co7967
co4096	co335
co3386	co1073
co2125	co1365
co116	co873
co6333	co2038
co6124	co51
co3378	co931
co386	co8018
co1579	co8
co144	co6125
co2729	co4014
co11	co1376
co840	co1842
co14072	co4705
co837	co2520
co5818	co881
co1458	co6469
co341	co1111
co2024	co3511
co108	co1938
co100	co5726
co1221	co2857
co3386	co3658
co5873	co247
co1731	co3665
co3195	co1216
co3847	co439
co5394	co932
co2952	co1028
co4975	co850
co9009	co4541
co1824	co21
co7008	co467
co298	co303
co2746	co7608
co7041	co2133
co1265	co3252
co6776	co2959
co570	co218
co7061	co98
co8575	co7498
co498	co8007
co652	co269
co7830	co737
co11557	co122
co1176	co6825
co7328	co7556
co981	co5167
co5443	co5542
co1816	co261
co1682	co6992
co693	co1878
co127	co3554
co844	co2879
co2382	co834
co332	co3598
co1201	co198
co5244	co1426
co1355	co1069
co262	co3463
co129	co2691
co8197	co130
co6249	co1038
co1560	co1276
co997	co1703
co2893	co2282
co3371	co3812
co3690	co8335
co7820	co6449
co2129	co92
co7840	co243
co4704	co6415
co1540	co4145
co286	co122
co7805	co401
co7125	co2307
co7375	co4918
co446	co12565
co2281	co6584
co7709	co977
co1249	co1272
co10436	co2108
co2720	co6995
co3231	co971
co2691	co46
co3882	co491
co4215	co7534
co8379	co4654
co1119	co7815
co414	co2053
co6817	co1340
co109	co12571
co1969	co1279
co6289	co892
co3312	co1542
co12341	co38
co118	co1815
co1097	co8815
co694	co888
co6249	co289
co537	co2539
co266	co709
co1660	co7838
co637	co1132
co86	co3050
co9412	co1504
co2513	co1645
co1262	co67
co1946	co827
co5246	co4531
co9264	co13
co5648	co3376
co8809	co4568
co4063	co1013
co711	co193
co5484	co10107
co5081	co8805
co3303	co3066
co287	co938
co5341	co500
co4865	co529
co3514	co2457
co10505	co2366
co1255	co1345
co13	co3774
co1310	co509
co1305	co569
co6205	co523
co7516	co2475
co6254	co957
co1269	co6213
co5898	co3412
co3877	co8627
co3180	co529
co1077	co286
co3096	co695
co1090	co6846
co702	co14073
co982	co1283
co1076	co6523
co2201	co9692
co9642	co2376
co4548	co2439
co1302	co6911
co770	co5893
co5328	co5224
co76	co14074
co2232	co2112
co4213	co1013
co3173	co9153
co109	co11111
co6860	co1392
co5792	co7224
co10013	co2425
co1287	co439
co7282	co1154
co149	co491
co1868	co2680
co1413	co7165
co5766	co185
co4034	co3239
co6874	co517
co5114	co5831
co7184	co346
co3440	co2952
co1988	co1026
co11202	co668
co6084	co8112
co263	co1570
co7869	co4194
co746	co9036
co11518	co8180
co673	co1195
co2257	co4237
co1703	co120
co11745	co1944
co414	co873
co3616	co2301
co977	co9117
co932	co1653
co2600	co3752
co2060	co6618
co14075	co13530
co8004	co1279
co1243	co2121
co1373	co1426
co3386	co4064
co229	co3240
co402	co1244
co7157	co3690
co6256	co3428
co316	co2156
co2593	co3193
co5637	co1009
co2169	co5813
co8131	co612
co12357	co11453
co3228	co8027
co2790	co2639
co3953	co602
co503	co2124
co332	co10204
co625	co289
co1746	co9015
co3492	co4831
co8342	co3529
co998	co6566
co7088	co3794
co4150	co435
co236	co265
co5172	co1453
co67	co13221
co1970	co1436
co8249	co8708
co1746	co2329
co135	co1711
co8703	co11419
co8379	co11618
co1473	co136
co1373	co7799
co23	co1276
co5963	co2626
co286	co4151
co141	co825
co3203	co3631
co900	co462
co6055	co4431
co10578	co5538
co1331	co1821
co12247	co324
co1458	co3054
co3497	co98
co4758	co6847
co2772	co9237
co3958	co9597
co3314	co567
co1662	co1014
co11664	co2735
co2461	co639
co5294	co4591
co4916	co364
co1015	co4908
co782	co2972
co9442	co8995
co3882	co2279
co358	co543
co3959	co9826
co3484	co7909
co5405	co3236
co8996	co210
co14076	co7574
co9406	co3573
co1760	co2580
co10044	co3601
co7830	co11091
co500	co3012
co4462	co286
co6044	co136
co4610	co1153
co3700	co668
co1682	co2569
co537	co2327
co509	co1306
co2199	co9773
co3385	co2135
co693	co1399
co4342	co18
co4104	co1489
co1173	co543
co566	co6335
co6640	co5555
co760	co6642
co1685	co3466
co653	co38
co2383	co5801
co3846	co3758
co5051	co1910
co1018	co4694
co5874	co120
co3821	co10629
co7930	co505
co2449	co5315
co3260	co2693
co3665	co2698
co5254	co1325
co10812	co2509
co1498	co12596
co1050	co1321
co324	co1527
co2827	co1969
co2666	co457
co5022	co6536
co6167	co2454
co414	co1561
co1991	co643
co5080	co210
co228	co14077
co62	co11245
co6706	co2917
co3173	co790
co5136	co11773
co8757	co7276
co583	co3665
co7286	co7902
co5822	co4119
co2594	co1272
co3972	co7838
co11729	co13440
co598	co4031
co939	co2032
co3242	co668
co6206	co1886
co4455	co8461
co2770	co2155
co391	co4722
co317	co3773
co11049	co630
co9385	co508
co2866	co775
co6891	co4127
co7776	co13241
co25	co5289
co9251	co1180
co7992	co9667
co10295	co43
co5649	co249
co1852	co64
co1416	co3195
co165	co7493
co923	co3417
co8063	co5168
co816	co1219
co982	co189
co1598	co2327
co1725	co509
co262	co2520
co509	co6732
co7156	co2593
co4230	co1440
co4548	co112
co7538	co3823
co4097	co241
co3949	co3096
co9365	co6086
co14078	co583
co1021	co7768
co6251	co7505
co293	co3665
co109	co4843
co500	co4929
co200	co1021
co3032	co2520
co5294	co8867
co4589	co151
co5576	co2327
co4282	co8623
co781	co341
co358	co1889
co2161	co1417
co3667	co407
co3173	co3665
co2944	co1332
co585	co3151
co11888	co6712
co5372	co1683
co358	co9597
co663	co800
co4161	co3874
co536	co6409
co11394	co243
co10134	co2381
co7441	co64
co4241	co562
co72	co2984
co2051	co2134
co1309	co1273
co5265	co10709
co2310	co3217
co1868	co10439
co25	co2309
co12921	co7473
co8356	co1594
co855	co2434
co710	co8323
co8667	co222
co3178	co402
co9820	co2475
co3309	co4357
co7448	co218
co4523	co430
co732	co6549
co685	co4898
co1738	co2134
co3453	co7531
co808	co4115
co3497	co987
co4020	co6153
co6526	co1224
co12008	co4115
co7167	co2499
co790	co5179
co92	co2843
co11616	co8883
co5375	co7084
co300	co10140
co4676	co5290
co1019	co6424
co300	co13096
co197	co665
co6238	co1365
co1507	co469
co736	co6901
co1788	co567
co1613	co3982
co2382	co1602
co1542	co4659
co473	co384
co3518	co5873
co5905	co1195
co1223	co5681
co8732	co5637
co6923	co402
co736	co6701
co6608	co2959
co7032	co5552
co121	co2863
co4471	co7408
co6463	co921
co102	co10110
co2477	co1774
co1045	co9095
co109	co1497
co6330	co337
co8970	co3050
co1304	co2035
co403	co2479
co1936	co12285
co165	co2059
co4305	co3735
co7018	co9444
co360	co6509
co1987	co2904
co2870	co517
co1267	co875
co1503	co1879
co10422	co1460
co9283	co4736
co270	co5694
co1986	co4912
co3240	co5879
co2770	co4397
co5989	co10117
co6052	co729
co7031	co5661
co2427	co2962
co3462	co1393
co1094	co58
co14079	co6409
co6498	co2479
co1309	co2692
co4231	co324
co5536	co1611
co790	co2708
co2379	co3469
co5094	co8387
co164	co1272
co2560	co2020
co2865	co12399
co521	co6017
co1191	co43
co6914	co242
co6084	co12148
co13985	co702
co2787	co5362
co229	co910
co2790	co2914
co5431	co5211
co1559	co865
co2743	co4898
co853	co2694
co2382	co1543
co4798	co165
co4745	co4889
co235	co522
co9905	co11206
co7298	co958
co3876	co9235
co3363	co1452
co2244	co3108
co4289	co204
co1002	co7029
