mo15638	hu13314	rt8638
hu15004	mo3006	rt4527
rt4796	hu3950	mo879
rt12907	hu11214
rt9848	hu14442	mo12105
rt15395	hu16864
hu521	mo2084	rt3466
hu1676	mo16191
rt4057	hu16009	mo11752
mo1454	hu9867
hu2289	mo1209	rt13268
rt7797	mo12898
rt14654	hu14955	mo16797
hu4669	mo4947	rt2486
hu4586	mo8925	rt6766
hu1485	mo5695	rt1696
mo15777	hu3993
mo2891	hu10671
hu66	mo4797	rt8974
mo15267	hu13145	rt12750
mo15682	hu16086
hu17295	mo8149	rt11968
mo16737	hu10080
mo16335	hu16095
mo1752	hu13322	rt12330
hu2512	mo13932	rt3636
rt8337	hu13372
mo5142	hu4940	rt3092
hu4916	mo12110	rt15661
mo9644	hu11858	rt9273
hu16972	mo585
hu15427	mo11952	rt10378
mo8414	hu3266	rt9508
mo7678	hu13062	rt8034
hu8564	mo10309	rt10974
rt8483	hu4155	mo7944
rt10304	hu12275	mo11851
rt14203	hu12424	mo10347
hu8980	mo8072	rt11595
mo7919	rt14544
rt10432	hu7961	mo16772
rt4879	hu13726	mo14377
rt11853	hu14121
hu5689	mo856	rt1161
hu7223	mo5986
mo8342	hu6303	rt11856
rt8024	hu5638	mo5292
mo8543	rt9985
hu39	mo1339	rt1236
hu3111	mo10962	rt7820
mo6457	hu1647	rt9684
mo5590	hu16639
rt8818	hu3952	mo5984
rt5319	hu3546	mo7961
mo9700	hu10200	rt7624
rt15368	hu11114	mo1224
rt14141	hu9185
mo13130	hu10222	rt11621
mo7444	hu17999
hu2014	mo5218	rt1493
rt13668	hu15303	mo12164
rt9729	hu6239	mo14568
rt7208	hu17129	mo14008
rt7641	hu9525	mo9547
rt3317	hu1079	mo567
hu16758	mo14630	rt15100
hu10988	mo11955	rt6146
hu7930	mo8952	rt11615
hu11331	mo12062	rt7907
mo16223	hu5173	rt14193
mo8036	hu14194	rt9999
hu8001	mo9201	rt2101
mo15462	hu17180
rt2873	hu2243	mo1784
hu503	rt11111	mo6739
hu5276	mo12285	rt10226
mo9177	hu591	rt11151
hu7396	mo10196	rt10739
mo15555	hu5011
rt14870	hu1650	mo15762
mo4111	hu11653	rt2855
hu6582	mo6335	rt11867
mo4204	hu6608
rt2182	hu1793	mo8894
hu14210	mo16380	rt8035
mo9280	hu5333
hu5661	mo679	rt6534
rt9686	hu13654	mo12732
mo13512	hu11001
hu7204	mo3273	rt7272
hu11944	mo9407	rt848
hu8536	mo12690	rt8185
hu6120	mo9339	rt7712
hu9504	mo10240
rt15532	hu17043
rt5939	hu4399	mo265
hu5036	mo17107	rt4254
rt12558	hu8820
hu17154	mo1472
mo16172	hu15477
rt10407	hu14520	mo4400
rt8593	hu8876	mo6698
rt15491	mo9741
rt5970	hu2533	mo1803
mo7166	hu17896	rt12837
mo5715	hu6327	rt1295
hu13503	mo11423	rt16
hu1807	mo10359
hu9002	mo11344	rt5443
hu1260	mo8180
mo10061	hu10971
rt12132	hu17075	mo14727
rt15151	mo16444
mo16422	hu10507
rt627	hu5269	mo2786
rt6114	hu1678	mo5598
rt11009	mo11728
hu604	mo378	rt2391
hu926	rt1665	mo3087
rt13567	hu15530	mo13624
rt5208	mo11193
mo4639	hu9607	rt2016
mo1279	hu828	rt2387
hu13591	mo12320	rt11146
hu4432	mo16934	rt5797
mo15793	hu16911
rt1853	hu1244	mo2116
mo155	hu90	rt4176
mo13536	hu2321	rt13322
hu369	mo5688	rt7023
rt12774	hu12015	mo13055
hu3954	mo13776	rt9894
rt12824	hu15434	mo9504
hu9905	mo15066	rt11286
hu4371	mo2927	rt5085
mo2741	hu1827
mo8447	hu12389	rt5049
hu5466	mo8320	rt6043
mo15813	hu12068
mo1043	hu5102	rt2353
hu17170	mo17085	rt12195
hu18033	mo15818	rt14813
rt3161	hu1778	mo5658
rt11932	hu17773
mo2110	hu3984	rt9303
hu16042	mo16392	rt13588
hu4381	mo5738	rt11063
hu9603	mo9467	rt6319
hu861	mo11304	rt1038
mo7259	hu8354	rt6075
mo9090	hu14633	rt8791
mo5432	hu2018	rt2862
rt4044	hu8556	mo3234
mo9576	hu10082
rt1238	hu6702	mo10224
mo13711	hu17826
hu930	mo453	rt1944
rt2934	hu4096	mo797
hu12096	mo8919	rt9008
mo13887	hu4753	rt13817
hu12340	mo8631
mo823	hu5842	rt3011
mo498	hu2067	rt10099
mo15870	hu17298
hu6510	mo17280	rt8648
rt5868	hu9118	mo16640
mo12496	hu11818	rt6296
rt1843	hu7331
hu136	mo759
mo8173	hu11237
hu15884	mo6150	rt10631
mo12132	hu14073	rt14170
mo12497	hu3449	rt4220
mo13638	hu15681	rt13822
mo12630	hu8630	rt2824
rt15227	hu14879	mo17008
rt13949	mo15162
mo16449	hu17535
rt12384	hu13324	mo16576
hu10360	mo8278	rt2600
mo15825	hu13901	rt14247
rt12936	hu10900	mo11116
mo5656	hu6429	rt1428
mo42	hu4728
rt15321	mo16005
rt9317	mo16160
hu6058	mo11195	rt12940
mo13201	hu7827	rt7059
rt15118	hu8709	mo13697
hu4511	mo1683	rt5135
mo11379	hu3055	rt12844
rt13236	hu14586
rt10887	hu11728
mo10726	hu8235
hu17092	mo385	rt11647
rt14785	mo16158
mo2031	hu2506	rt928
hu11793	mo8042	rt11201
rt7669	hu6573	mo7292
rt5569	hu5218	mo13309
mo3309	hu7356	rt10464
mo10015	hu15165	rt11892
rt12391	hu15838	mo14139
hu10561	mo5315	rt2868
mo12617	hu13409	rt5413
hu9345	mo3544	rt9361
rt8306	hu11317	mo457
hu12784	mo11218
mo3466	hu7336	rt5535
hu6339	mo8907	rt7721
mo1062	hu7380	rt9506
rt2239	hu6385	mo3384
hu16869	mo5274	rt13046
hu12306	mo16420
hu8734	mo13348	rt12582
rt14249	mo11680
hu1223	mo5585	rt3894
mo10975	hu9050
hu16871	mo11763	rt11125
mo467	hu1870	rt1066
hu10448	mo2090	rt5972
mo2880	hu7959	rt4512
rt13099	mo1550
mo7994	hu13438	rt11386
rt4341	hu4070	mo6356
mo11374	rt14474
hu7360	mo5242	rt10557
hu7691	mo11980	rt7798
mo5727	hu7006	rt8900
rt7243	hu17390	mo11871
rt13967	hu4029	mo14514
hu97	mo14492
mo6940	hu7197	rt5116
rt3621	hu9518	mo2887
hu11715	mo2616	rt7083
rt11266	hu13094	mo9400
hu5856	mo3296	rt9706
hu17843	mo13121	rt605
hu4635	mo8497	rt2954
hu9410	mo1507	rt279
mo11402	hu11086	rt6385
rt14906	hu5069	mo6007
mo9294	hu6197	rt4123
hu7868	rt13418
rt13866	hu17432	mo16732
mo5042	hu331	rt4840
rt10875	hu15484	mo8780
hu2206	mo11813	rt6005
mo10074	hu11483	rt6771
hu12509	mo5118	rt7682
rt7973	hu11864	mo12990
hu7735	mo1922	rt674
hu8655	mo6073	rt9856
rt10213	hu3035	mo10490
hu11957	mo12115	rt5478
mo2864	hu3319	rt10800
rt2087	hu2322	mo3919
rt553	hu9673	mo822
rt14772	mo15228
mo16144	hu16196	rt13623
rt9365	mo16692
rt11280	hu14641	mo15674
mo14659	hu12085
rt14617	mo16454
rt14662	hu16150	mo12753
rt15250	hu17597	mo13173
mo12569	hu6223	rt6548
mo3864	hu6321	rt5297
rt10388	mo14962
hu8957	mo12946	rt13159
mo15699	hu13244
mo674	hu2964
mo9976	hu3600	rt10565
mo482	hu1688	rt3026
